patent_number,patent_date,patent_year,patent_title,patent_abstract,patent_kind,patent_type,patent_num_us_patent_citations,patent_num_us_application_citations
10002130,2018-06-19,2018,Conversational agent,"A method includes converting a user's utterance to text; encapsulating the converted text in a rheme object; searching, for each of a plurality of topics, for keywords in the converted text; determining a relevancy metric for each of the plurality of topics based on such searching; selecting one or more topics based on determined relevancy metrics; comparing some or all of the converted text to names in one or more patient lists or databases; identifying a unique patient whose name is contained in the converted; attaching an indication of the identified patient to the rheme object; effecting an action based on the selected one or more topics and the attached patient indication; and saving the topic in a conversation history with a reference to the identified patient.",B1,utility,0,7
10013979,2018-07-03,2018,Expanding a set of commands to control devices in an environment,The present disclosure contemplates a variety of methods and systems for enabling users to automatically expand the set of commands a user can issue. An assistant device can receive a user instruction via microphone and determine a voice activatable command and device description. The assistant device can then identify that no adapter associated with the voice activatable command and device description is available. The user can be prompted to provide a second voice activatable command or a second device description which can then be used to identify an adapter. The assistant device can store the voice activatable command or the device description in association with the identified adapter.,B1,utility,4,9
10013980,2018-07-03,2018,Combined menu-based and natural-language-based communication with chatbots,"A user is allowed to communicate with a chatbot. A menu is provided to the user that includes a list of actions that can be performed by the user. Whenever natural language input asking a question is received from the user, this input is forwarded to the chatbot, a response to this input is received from the chatbot, this response is provided to the user, and the menu is again provided to the user. Whenever natural language input is received from the user requesting an action that is not one of the actions in the menu, this input is forwarded to the chatbot, a response to this input is received from the chatbot, where this response includes another menu that includes a list of subsequent actions that are related to the requested action and can be performed by the user, and this other menu is provided to the user.",B2,utility,1,15
10014080,2018-07-03,2018,Evidence based medical record,"Various embodiments provide systems, computer program products and computer implemented methods. In some embodiments, a system includes a method of providing a confidence-estimation-based inference, the method includes receiving a query concerning a patient from a user, accessing an electronic health record (EHR) for the patient, the EHR including a first component regarding the patient, querying the user, using a conversational interface, for a second component regarding the patient, receiving the second component regarding the patient in response to the query, calculating a first probability density function using the first component, and a second probability density function using the second component, combining the first and second probability density functions using a Gaussian mixture model, calculating at least one conditional probability table using the Gaussian mixture model and providing the confidence-estimation-based inference based on the at least one conditional probability table.",B2,utility,1,9
10019060,2018-07-10,2018,Mind-controlled virtual assistant on a smartphone device,"Generally described, the present application relates to a system and method for processing input to control a set of functions and features. More specifically, however, the present application relates to user devices that can be controlled through brain activities or similar actions. In an illustrative embodiment, brain activities are monitored through electroencephalography (EEG). Through EEG, input waves that can be appropriately monitored can be sent to a virtual assistant. The virtual assistant can decipher the number of signals coming and determine a correct output such as a function or feature to be manipulated. In the implementation presented herein, features and functions of a smartphone can be manipulated. Other types of user devices can also be controlled, such as in-vehicle systems, head units, televisions, tablets, computer, laptops, etc.",B2,utility,0,7
10019634,2018-07-10,2018,Method and apparatus for an eye tracking wearable computer,"An embodiment of an Eye Tracking Wearable Computer apparatus includes a first portable unit for data gathering and communicating feedback and a second portable unit for processing the at least gathered data from the first unit. The first portable unit includes an eyeglass frame, at least one first optical unit disposed on the eyeglass frame for capturing at least one scene image corresponding to a field of view of a user, at least one second optical unit disposed on the eyeglass frame for capturing at least one eye image corresponding to at least a portion of at least one eye of the user, at least one microphone to allow the user to communicate via voice, at least one speaker to allow the user to receive feedback via voice, at least one visible light source to allow the user to receive feedback via light signals, at least one motion sensor to monitor the head movements of the user, and at least one first processor to at least receive data from the data gathering units in the first portable unit and at least manage the communication with the second portable unit. The second portable unit is in communication with the first portable unit and includes at least one second processor configured for receiving the at least data from the first processor and decoding a pre-defined command from the user and executing at least one command in response to the received command. At least one of the processors will determine a direction within the field of view to which the at least one eye is directed based upon the at least a history of one eye image, and generates a command or a subset of the at least one scene image based on the determined direction. At least one of the processors will provide a feedback to the user to acknowledge the user command received. In one embodiment, the Wearable Computer will function as a driver assistant and in another embodiment as a cameraman.",B2,utility,9,3
10019670,2018-07-10,2018,Systems and methods for creating and implementing an artificially intelligent agent or system,"A system and associated methods for creating and implementing an artificially intelligent agent or system are disclosed. In at least one embodiment, a target personality is implemented in memory on an at least one computing device and configured for responding to an at least one conversational input received from an at least one communicating entity. An at least one conversational personality is configured for conversing with the target personality as needed in order to provide the target personality with appropriate knowledge and responses. For each conversational input received by the target personality, it is first processed to derive an at least one core meaning associated therewith. An appropriate raw response is determined then formatted before being transmitted to the communicating entity. Thus, the target personality is capable of carrying on a conversation, even if some responses provided by the target personality are obtained from the at least one conversational personality.",B2,utility,0,3
10031911,2018-07-24,2018,Mobile device to control virtual assistant system,"A method of controlling an external service among a plurality of external services, by receiving an input command at a mobile device, translating the input command into a common language sharable between the external services so that such input commands are understood between the plurality of devices and services and functions are performed at the devices and or services in response to the input command. This control of the services is also sharable as instructed by an input command.",B2,utility,7,15
10038884,2018-07-31,2018,Color calibration of color image rendering devices,"Color calibration of color image rendering devices, such as large color displays, which operate by either projection or emission of images, utilize internal color measurement instrument or external color measurement modules locatable on a wall or speaker. A dual use camera is provided for a portable or laptop computer, or a cellular phone, handset, personal digital assistant or other handheld device with a digital camera, in which one of the camera or a display is movable with respect to the other to enable the camera in a first mode to capture images of the display for enabling calibration of the display, and in a second mode for capturing image other than of the display. The displays may represent rendering devices for enabling virtual proofing in a network, or may be part of stand-alone systems and apparatuses for color calibration. Improved calibration is also provided for sensing and correcting for non-uniformities of rendering devices, such as color displays, printer, presses, or other color image rendering device.",B2,utility,176,9
10044455,2018-08-07,2018,End-to-end real-time transport protocol (RTP) packet transmission delay measurement apparatus and method,"In a wireless call between two mobile phones, metrics of conversational latency between the two parties determines a measure of Quality of Service (QoS) for the one or more carriers of real-time transport protocol RTP packets. Packages of metrics are collected at the two terminal devices, each of which may have an independent local clock. A Quality of Service estimation apparatus transforms metric packages into a pair of probability distribution functions for a plurality of real-time transport protocol packets between two endpoints. The offset between the two independent local clocks is determined or eliminated. A key performance indicator is determined for End-to-End RTP stream delay by transforming the timestamps associated with transmission and reception at user equipment hosting a QoS agent.",B2,utility,1,4
